volume	source_words	total_chunks	local_reviewed_chunks	published_reviewed_chunks	status	source_sha256
001	603389	141	141	141	complete	c3e600a7003b7860e4e1839a697150485738517ca3f1eb8d232b694a491fdcb1
002	626322	148	148	148	complete	97bfcd5c68ab93020183aec87acddae7aa546cde5e59403fc44a56b6db5aeab0
003	745610	177	177	177	complete	191a2ad8090196cd8da0926a85c253d3a9ea5df002a00e0faa963caf55e38486
004	564616	130	130	130	complete	49bd16def959c450f6c9a635940320faa09d1059565e0083b170b9b2441f6468
005	617308	140	140	140	complete	1153db6437037beadfe5ebcceed2d34f5182b23e89c56425448c854a88a4dbf5
006	530742	113	113	113	complete	d125f4e80d1c3ae6965ce5cb27392bc8d1b6e4b1acbf02d783da6e27a5f41763
007	588815	136	136	136	complete	7ab8bb640ccc6f5019bea35f2140cf3e9216699529010c282baf0f7161c3aa31
008	630579	139	139	139	complete	61ac8ab513238c6256bf2e2e264abc7184be0c44fd9aba72b6367941a7f4dcd9
009	493400	109	109	109	complete	1ac9a313cd9f8ce35c5f13267f8c6285ad352866f5bd091a7d07debb813dd72c
010	544709	130	130	130	complete	a2b0337f385f65afcc341bca3fddc1ac6ac1c46477971bd8d8ba6433b300076a
011	703201	169	169	169	complete	e3d218d73db14fae5377e25a948a8c5e5f91c7a275b828eb1d9c4a4ca639f8e8
012	586018	127	127	127	complete	afcd7a732419228fafdac8964e45129ed051a841a313d0263bf5e3a3d0e42f64
013	553444	134	134	134	complete	bfb42594dea567abe489467dd0ad772d2b4bf93a596fdf58ae397d7d04637683
014	510991	113	113	113	complete	8081429eb4c2b5b891243d438bbff92a90c599627739be99a47c5b7c37fdd178
015	492769	116	116	116	complete	3f31775c3dc3f6ebf0fc17f3f7d36adede448761106030b76b27aa59511e57b4
016	699705	160	160	160	complete	3f72b812eaa73ac57f463a1309f2a0a39aaed87749d3f5f02d82966074f94c06
017	542737	120	120	120	complete	969eec45cd29e4f794020bd1414c07887f51eb3cd37d028a369147c110d4c90b
018	793760	200	200	200	complete	215ac79e7668c694665fab01f61d62a3946e44a7b3370eb80ea54f954c547df6
019	431696	100	100	100	complete	ff2a69a086cc7a50c5c044b6748f1d62d89bf0b1d92374411f2d884d86aac189
020	517909	126	126	126	complete	1045e1cde2090dd674c062cf2ea6fdb961ba651206cd9b0e54fed1448faf45f8
021	611629	139	139	139	complete	c6274d8b02020a44777d31960e5530f45167892842dbab1a5eb25db4ddc97cc5
022	629300	147	147	147	complete	1c37e266a9f382006be8545f3455c2e63b08c2d25255af9d8f95ca3020affc41
023	692826	160	160	160	complete	d27250fcbb4944714cba298a6d62407eb9a06b869483641176c00c4ff7ebc80d
024	428210	96	96	96	complete	e620e713a41f2df0fccaae93ad9dda38d5bb68a9466b364ca9261d3af44e9109
025	722739	176	176	176	complete	e9de131511dd663488d0ba214942cec5dfdb516bea0193814931352b15dcc2f9
026	576645	129	129	129	complete	88230a8f69d8904fbf9ae7bcc2dbb36872493b4ca17478dfc743f2d6ca50f47d
027	589886	127	127	127	complete	d2d98d7d1472c6670101a7763557a4af2b7c8941b261d8fd3c30535a5f025cd8
028	624059	139	139	139	complete	d2a70a13fb86c1dae1ce36499118cee4a90322a0a531badb1ed92acae0f92b82
029	460507	106	106	106	complete	40c06dc475a6f779a37bace5d4a8bd2be7939e3c12f2b1dcd44bd6a4fa321809
030	483173	109	109	109	complete	200b5a23ba4790f761b1b5ee8e35b3c6eb545fa67fed179786c456fd135441f3
031	607856	144	144	144	complete	8df67fc6128c72f7b11b2342bd16f3fc54ae0f7de11c844d7c49116e92e5c81e
032	671574	151	151	151	complete	f9be2e496e927b292dad027cffe26ce8693d0cde6809b668b17048e2a914e5d1
033	533931	118	118	118	complete	4ba30362e47065adc69ea9405b9d04663afe25d004f16da52a5afc86bfb8527a
034	585285	128	128	128	complete	c2a6db7a2d5ec58a1f5a5cb43825683c80031cc71286fa991fbe71a50d081bd4
035	572696	128	128	128	complete	545e75345d5b7d66a445a4e96c9a4250ccbe658152ab6256e0faf5d411c7f651
036	474087	101	101	101	complete	14065e78240455df7fce5b1c3d2633057060a307ced62a8536b504c93122ad06
037	433427	93	93	93	complete	441691bfd110d74e1d70cdb500e7a604e1e2098c6ee43a24fc82b7ee43b99933
038	672783	144	143	0	in_progress	0a22372d1e1be45ce63c5e2170fb93bb7a0639eab50c6bb9b0ae60b5a0f2d536
039	517243	114	114	114	complete	ea93616d8e322c7981c48dfd8583e2de8e3fb9fed951e9317cd670b74631719b
040	696556	156	156	156	complete	3841c17ca502349a4b6cd9d6e7e9350f7ca7fa3694509b72d6b84ce36c6e3ae5
041	392041	89	89	89	complete	b8b824a4e108576fe4bcec65d41d6f62e64d4abb4c315031d616a10dae2b80f2
042	562327	125	125	125	complete	6a9f7c3c5339e03e19347d479eb3dcbf15d7b3d629358261248038784d52f3b7
043	370597	85	85	85	complete	79982d1539769cb1f47ab9fc86a01671f7460a39ca6e8674724d41c9f34929f9
044	439204	96	96	96	complete	a55f4e2825316320298e28ab3fba476dc6d2ea9be92877a009ca3ad3538b3801
045	435087	99	99	99	complete	48972da569ecaac13d91d2e4896b74139b859fc72a9bd217aeef07a3395f1067
